iter	MultiClass
0	1.356474006
1	1.329776816
2	1.306785845
3	1.288534742
4	1.275964317
5	1.26221155
6	1.246261582
7	1.238965708
8	1.227411645
9	1.217009065
10	1.207886111
11	1.197504187
12	1.189364245
13	1.180346861
14	1.174059595
15	1.167604169
16	1.161534798
17	1.15245309
18	1.145634088
19	1.139497407
20	1.13417387
21	1.129942767
22	1.122438329
23	1.11669899
24	1.112284499
25	1.105827936
26	1.101640007
27	1.09777104
28	1.093366122
29	1.089436893
30	1.085220245
31	1.080611258
32	1.077229001
33	1.070759337
34	1.066933824
35	1.05968679
36	1.055445694
37	1.051010959
38	1.047597029
39	1.043495909
40	1.039621687
41	1.034116473
42	1.030103637
43	1.026784848
44	1.023515932
45	1.020227007
46	1.016042796
47	1.012213131
48	1.007021293
49	1.003572387
50	0.9996951761
51	0.9956837858
52	0.9904272647
53	0.9888462799
54	0.9860484807
55	0.9830761666
56	0.9806151561
57	0.9776513908
58	0.9723831009
59	0.9688106923
60	0.9655268458
61	0.9623634403
62	0.9598562471
63	0.9565573145
64	0.9542574073
65	0.9518489956
66	0.9487427216
67	0.9459889004
68	0.9413178482
69	0.9394045824
70	0.935850533
71	0.9303058339
72	0.9248618115
73	0.9225032125
74	0.9208276864
75	0.9187442611
76	0.9152719221
77	0.9113169395
78	0.9082885239
79	0.9039497147
80	0.9009261614
81	0.8984822512
82	0.8953510661
83	0.8925507058
84	0.889686229
85	0.8870288962
86	0.8835182668
87	0.881362412
88	0.8797787418
89	0.8779054935
90	0.8760864842
91	0.8741973649
92	0.871194004
93	0.8694810458
94	0.8665920436
95	0.8639919365
96	0.8620343029
97	0.8604770544
98	0.8587956325
99	0.85615539
100	0.8544621803
101	0.8521597092
102	0.849572362
103	0.8458508275
104	0.8426031892
105	0.8409965455
106	0.838810061
107	0.8369808316
108	0.834618687
109	0.8318118304
110	0.8293631061
111	0.8269979257
112	0.8247122076
113	0.8227788092
114	0.8203879266
115	0.8176825631
116	0.8153962767
117	0.8128468221
118	0.8104376223
119	0.8084361556
120	0.8065696887
121	0.8042436545
122	0.8014388421
123	0.7988675997
124	0.796422455
125	0.7938192356
126	0.7915156488
127	0.7900635386
128	0.7883904298
129	0.7867896362
130	0.7835882674
131	0.7792342576
132	0.7768670924
133	0.7748903415
134	0.772818672
135	0.7692202115
136	0.7672181315
137	0.7639820503
138	0.761515025
139	0.7586740089
140	0.7569445638
141	0.7531473453
142	0.7515728866
143	0.7487080994
144	0.746843687
145	0.7447043176
146	0.7430409892
147	0.7409965374
148	0.7391972026
149	0.7369716001
150	0.7346881942
151	0.7331166064
152	0.7312079681
153	0.7297196558
154	0.728327877
155	0.7267822199
156	0.7251205753
157	0.7238625716
158	0.7225853075
159	0.7210028397
160	0.7193497862
161	0.7168482153
162	0.7153068615
163	0.7136364293
164	0.712316894
165	0.7108504847
166	0.7093277254
167	0.7077470274
168	0.7064510266
169	0.7039367986
170	0.7019954841
171	0.700430621
172	0.6991231425
173	0.6968732891
174	0.6953059276
175	0.6934334225
176	0.6911935857
177	0.6897775046
178	0.6873136012
179	0.6856833932
180	0.6841754786
181	0.68278458
182	0.6814781401
183	0.6798865516
184	0.6780464633
185	0.6766726892
186	0.6755225466
187	0.6742821117
188	0.6731752347
189	0.6714630138
190	0.6700442389
191	0.6678934711
192	0.6659752815
193	0.6646250507
194	0.6628804548
195	0.661863121
196	0.6604846238
197	0.6592073525
198	0.6576861743
199	0.6565406211
200	0.6551082673
201	0.6537380192
202	0.6517453993
203	0.6491207959
204	0.6479491485
205	0.6469132334
206	0.6456517114
207	0.6436512364
208	0.6422701765
209	0.641191822
210	0.6398480307
211	0.6374540542
212	0.6365491799
213	0.6355470884
214	0.6338029067
215	0.6317733079
216	0.630492542
217	0.6278449692
218	0.6258285555
219	0.6249922286
220	0.6239659966
221	0.6223888323
222	0.6205807248
223	0.6196701621
224	0.6185419569
225	0.6174118348
226	0.6165502541
227	0.6154876715
228	0.6131673037
229	0.6120313117
230	0.6110166134
231	0.609336033
232	0.6082301335
233	0.6072339335
234	0.6062712157
235	0.6049692753
236	0.6036879862
237	0.601566789
238	0.600744408
239	0.5994436003
240	0.5984543262
241	0.5973060176
242	0.5963376629
243	0.5952420763
244	0.5941291326
245	0.5932671976
246	0.5924510058
247	0.591565758
248	0.5907164471
249	0.5897431653
250	0.5890142001
251	0.5876429519
252	0.5864579832
253	0.5854070916
254	0.584421345
255	0.5836119289
256	0.5822322553
257	0.5813971156
258	0.5806703012
259	0.5798786617
260	0.5790517256
261	0.577618048
262	0.5757391541
263	0.5744205691
264	0.5735721471
265	0.572835731
266	0.5710192042
267	0.5698893309
268	0.5686924805
269	0.5675748143
270	0.5669126447
271	0.5661315521
272	0.5651618167
273	0.564276657
274	0.5634615242
275	0.562153865
276	0.5610620649
277	0.5597329325
278	0.5581618925
279	0.5573029291
280	0.5566185599
281	0.5558988139
282	0.5550848487
283	0.554261132
284	0.5535371513
285	0.5526762419
286	0.5517599113
287	0.5510396592
288	0.5492964019
289	0.5485353998
290	0.5479112776
291	0.5471835656
292	0.5461331628
293	0.5452844884
294	0.544348559
295	0.5435429668
296	0.5423823662
297	0.5415770621
298	0.5407450951
299	0.5395457387
300	0.5371233932
301	0.5362019447
302	0.5354291023
303	0.5346109475
304	0.5317083
305	0.5307733816
306	0.5300155041
307	0.5291379234
308	0.5284589976
309	0.5276780328
310	0.5271071048
311	0.5264285553
312	0.5257324911
313	0.5252001029
314	0.5243323302
315	0.5232148239
316	0.5225152703
317	0.5207159953
318	0.5200425722
319	0.5190980654
320	0.5184798794
321	0.5177021289
322	0.5171958929
323	0.5166387774
324	0.5155886952
325	0.5148660776
326	0.5140796977
327	0.5133881613
328	0.5129479331
329	0.5118059953
330	0.5106860948
331	0.5101497822
332	0.5093087865
333	0.5085917604
334	0.5080308611
335	0.5067117117
336	0.5059000667
337	0.5049736171
338	0.5043758533
339	0.5037655018
340	0.5032119682
341	0.5018031424
342	0.5010670758
343	0.5003185558
344	0.499721111
345	0.4991723823
346	0.4984825217
347	0.4979805385
348	0.4974043738
349	0.4966542371
350	0.4961280529
351	0.4956393219
352	0.4951272632
353	0.4938571942
354	0.4924735945
355	0.4919800665
356	0.4911879197
357	0.4895571664
358	0.4883892482
359	0.487458894
360	0.4869162473
361	0.4860153722
362	0.4853616297
363	0.484881177
364	0.4844384777
365	0.4831119487
366	0.4824848926
367	0.4817895179
368	0.4813941211
369	0.4807246747
370	0.4798168697
371	0.479003423
372	0.478539507
373	0.4777777246
374	0.4771544559
375	0.4765945796
376	0.4749736837
377	0.4743086701
378	0.4738913522
379	0.4732108513
380	0.4724081611
381	0.4717026924
382	0.470890359
383	0.4702484991
384	0.4695711606
385	0.4690426658
386	0.4680385555
387	0.4673879931
388	0.4667143338
389	0.4659349065
390	0.4656032586
391	0.4649360303
392	0.4644573232
393	0.4638570305
394	0.4633429442
395	0.4628562306
396	0.4623535489
397	0.4618707227
398	0.4612996835
399	0.4607979653
400	0.4604166448
401	0.4599738623
402	0.4592645377
403	0.4583166656
404	0.4574295016
405	0.457047113
406	0.4564797042
407	0.4553883538
408	0.4549746752
409	0.4543027774
410	0.4539003099
411	0.452886165
412	0.4525263063
413	0.4521901643
414	0.4516272212
415	0.4511658886
416	0.4503445389
417	0.4497699633
418	0.448600094
419	0.4480224673
420	0.4474780389
421	0.4468898977
422	0.446533833
423	0.4451287998
424	0.4446332506
425	0.4441537217
426	0.4437642104
427	0.443327561
428	0.4422943968
429	0.4416996482
430	0.4412710395
431	0.440061064
432	0.4395945201
433	0.4390952558
434	0.4386042324
435	0.4382255518
436	0.437459872
437	0.4370027587
438	0.4364410492
439	0.4358997223
440	0.4354740208
441	0.4351208364
442	0.4348535048
443	0.4343890321
444	0.43373532
445	0.4332915169
446	0.4329440705
447	0.4324298624
448	0.4319364328
449	0.4309780772
450	0.4306191395
451	0.4299270122
452	0.4294880688
453	0.4290527394
454	0.4285848963
455	0.4280675149
456	0.4276747709
457	0.4272486072
458	0.4265799966
459	0.4255956893
460	0.4252642418
461	0.4250290196
462	0.4241648077
463	0.4230868165
464	0.4221592968
465	0.4209853784
466	0.4205462445
467	0.4201618666
468	0.4197948049
469	0.4196177246
470	0.4191350647
471	0.418563394
472	0.4179187862
473	0.4173463443
474	0.4169392623
475	0.4155374767
476	0.4150280146
477	0.4146545807
478	0.4143902411
479	0.4141071638
480	0.4137205301
481	0.4133738503
482	0.4130398333
483	0.4126073975
484	0.4116737324
485	0.4112762458
486	0.4108317007
487	0.4100860358
488	0.4093849011
489	0.4089207051
490	0.4085797063
491	0.4081306844
492	0.4077006251
493	0.4073988646
494	0.4071328252
495	0.4067092033
496	0.4063348907
497	0.4059071059
498	0.4053631098
499	0.4048151493
500	0.4045418191
501	0.4041805407
502	0.403846311
503	0.403448019
504	0.4031532148
505	0.4027130717
506	0.4020681697
507	0.4014629285
508	0.4010319113
509	0.4006016989
510	0.4002720313
511	0.3996468171
512	0.3990809579
513	0.3984905198
514	0.3981271894
515	0.3976148288
516	0.3972577398
517	0.3966561266
518	0.3962858721
519	0.3951051381
520	0.3943385536
521	0.3940376237
522	0.3935860708
523	0.3925018251
524	0.392116491
525	0.3916743972
526	0.3912116786
527	0.390912269
528	0.3905911496
529	0.3902922492
530	0.3898822277
531	0.3894704601
532	0.3889809843
533	0.3885719328
534	0.3881614624
535	0.3877151313
536	0.3872517085
537	0.3866331436
538	0.3863276188
539	0.3858909798
540	0.385619863
541	0.3852959692
542	0.3849989604
543	0.3846880169
544	0.3838584167
545	0.3836471155
546	0.3833316558
547	0.3829281161
548	0.3824779528
549	0.3820631157
550	0.3816765244
551	0.3810573879
552	0.3808058494
553	0.3805583057
554	0.3802587372
555	0.3798314966
556	0.3795459934
557	0.3788072368
558	0.3784627274
559	0.3779286292
560	0.377702968
561	0.3774851244
562	0.3773429961
563	0.3771437964
564	0.3768517603
565	0.3765452256
566	0.3762957797
567	0.3760416444
568	0.3758065183
569	0.3755134669
570	0.3750943384
571	0.3747690451
572	0.3741242751
573	0.3739269953
574	0.3736461663
575	0.3732963154
576	0.3729911302
577	0.3725386511
578	0.3721292379
579	0.3714488719
580	0.3711478793
581	0.3704313037
582	0.3697543313
583	0.3691485442
584	0.368835712
585	0.3686006997
586	0.3681681306
587	0.3677796155
588	0.3675384875
589	0.3671237727
590	0.3668947915
591	0.3665644806
592	0.366352371
593	0.3660925368
594	0.3658369088
595	0.3655651309
596	0.3651057351
597	0.3644813716
598	0.3641077902
599	0.3638203469
600	0.3636319782
601	0.3632182429
602	0.3628472973
603	0.3626123245
604	0.3624382122
605	0.3621895239
606	0.3620469918
607	0.3616300563
608	0.3610984515
609	0.3608449144
610	0.3606327338
611	0.3603820863
612	0.3600680531
613	0.3592114229
614	0.3589215237
615	0.3586069268
616	0.3583432022
617	0.3579851726
618	0.3577043853
619	0.3575015806
620	0.3572795104
621	0.3568862295
622	0.3566412718
623	0.35631195
624	0.3558455413
625	0.3556530872
626	0.3551357155
627	0.3548518161
628	0.3545661446
629	0.3543092285
630	0.3539515861
631	0.3533721594
632	0.3531384172
633	0.3529148751
634	0.352754908
635	0.3525689434
636	0.3524331421
637	0.3521943577
638	0.3519649598
639	0.3517362541
640	0.3513570808
641	0.3510497471
642	0.3508983037
643	0.350648332
644	0.3503134987
645	0.3501338613
646	0.3496070871
647	0.3493829808
648	0.3490959516
649	0.3488953372
650	0.3487669917
651	0.3485345533
652	0.3474888257
653	0.3472711337
654	0.3471178602
655	0.346748528
656	0.3465285632
657	0.3463375633
658	0.3462092197
659	0.3459281779
660	0.3452365908
661	0.3450764028
662	0.3448305465
663	0.3445670028
664	0.344067341
665	0.3438537596
666	0.3435509561
667	0.34318421
668	0.3425460551
669	0.342244698
670	0.3418261905
671	0.341594203
672	0.3412782503
673	0.3409627392
674	0.3407295734
675	0.3405768533
676	0.3403709868
677	0.3396992041
678	0.3394729775
679	0.338059497
680	0.3377648055
681	0.3374371964
682	0.3371745277
683	0.3366830081
684	0.3364262028
685	0.3359150413
686	0.3357838735
687	0.3351532439
688	0.3349491867
689	0.3347757633
690	0.3346530482
691	0.3344756193
692	0.3342389761
693	0.3340436793
694	0.3337639117
695	0.3335186146
696	0.3333221586
697	0.3331202498
698	0.3329732522
699	0.3326293242
700	0.3323663078
701	0.3321512718
702	0.331953196
703	0.3317196102
704	0.3315085638
705	0.3312190448
706	0.3310265021
707	0.3308371312
708	0.3306465715
709	0.3303641721
710	0.3301229486
711	0.3297698909
712	0.3294544619
713	0.3291206614
714	0.3288970771
715	0.3286806893
716	0.3285031509
717	0.3283673415
718	0.32813535
719	0.3279836849
720	0.3277429966
721	0.3276101145
722	0.3274939344
