iter	Passed	Remaining
0	61	61912
1	123	61560
2	192	64076
3	262	65415
4	326	64948
5	394	65366
6	465	66045
7	547	67845
8	620	68345
9	700	69366
10	775	69702
11	853	70271
12	926	70360
13	1001	70512
14	1082	71091
15	1181	72661
16	1266	73217
17	1333	72731
18	1401	72341
19	1468	71952
20	1534	71534
21	1615	71811
22	1694	71999
23	1775	72217
24	1848	72087
25	1918	71879
26	1990	71742
27	2065	71709
28	2144	71807
29	2214	71602
30	2285	71427
31	2355	71264
32	2420	70915
33	2494	70876
34	2567	70781
35	2636	70592
36	2709	70516
37	2782	70431
38	2852	70278
39	2923	70157
40	2989	69930
41	3054	69679
42	3119	69428
43	3181	69134
44	3247	68908
45	3314	68737
46	3379	68530
47	3445	68327
48	3510	68132
49	3574	67921
50	3640	67737
51	3708	67614
52	3767	67308
53	3832	67143
54	3898	66975
55	3967	66877
56	4038	66815
57	4109	66751
58	4180	66672
59	4246	66527
60	4311	66368
61	4383	66315
62	4450	66191
63	4518	66079
64	4582	65921
65	4650	65809
66	4719	65725
67	4790	65657
68	4860	65585
69	4929	65496
70	4996	65370
71	5062	65246
72	5127	65117
73	5192	64979
74	5259	64871
75	5322	64712
76	5386	64563
77	5452	64455
78	5516	64315
79	5583	64211
80	5648	64090
81	5714	63978
82	5778	63842
83	5839	63678
84	5907	63589
85	5972	63479
86	6039	63380
87	6104	63263
88	6167	63132
89	6232	63021
90	6296	62900
91	6362	62794
92	6426	62678
93	6493	62590
94	6560	62496
95	6626	62399
96	6699	62371
97	6773	62341
98	6844	62291
99	6913	62218
100	6977	62109
101	7046	62033
102	7111	61935
103	7176	61831
104	7241	61725
105	7307	61631
106	7368	61493
107	7434	61402
108	7499	61302
109	7563	61195
110	7629	61108
111	7695	61011
112	7763	60941
113	7834	60891
114	7912	60890
115	7989	60882
116	8053	60776
117	8121	60701
118	8185	60600
119	8252	60517
120	8324	60472
121	8394	60412
122	8461	60333
123	8537	60311
124	8603	60224
125	8676	60183
126	8745	60113
127	8818	60074
128	8890	60025
129	8962	59982
130	9035	59935
131	9110	59908
132	9183	59866
133	9260	59849
134	9342	59861
135	9421	59852
136	9498	59834
137	9571	59788
138	9648	59764
139	9723	59728
140	9803	59726
141	9878	59689
142	9953	59650
143	10025	59593
144	10099	59552
145	10173	59505
146	10243	59440
147	10324	59434
148	10400	59401
149	10485	59418
150	10570	59431
151	10652	59429
152	10729	59399
153	10811	59395
154	10897	59409
155	10975	59379
156	11064	59407
157	11143	59382
158	11210	59295
159	11284	59246
160	11352	59161
161	11430	59128
162	11509	59102
163	11576	59011
164	11652	58966
165	11725	58909
166	11792	58818
167	11858	58728
168	11920	58614
169	11986	58523
170	12052	58428
171	12112	58310
172	12178	58215
173	12254	58172
174	12326	58112
175	12394	58030
176	12470	57985
177	12544	57928
178	12613	57851
179	12677	57754
180	12745	57673
181	12814	57594
182	12878	57497
183	12944	57407
184	13017	57345
185	13082	57254
186	13153	57184
187	13219	57095
188	13289	57025
189	13356	56940
190	13423	56857
191	13493	56783
192	13563	56712
193	13627	56615
194	13693	56529
195	13764	56461
196	13832	56381
197	13900	56304
198	13972	56241
199	14048	56192
200	14116	56114
201	14185	56039
202	14249	55944
203	14309	55836
204	14373	55742
205	14435	55639
206	14497	55537
207	14565	55462
208	14643	55422
209	14710	55337
210	14773	55243
211	14838	55153
212	14900	55053
213	14964	54961
214	15059	54983
215	15135	54936
216	15212	54889
217	15287	54839
218	15362	54784
219	15440	54742
220	15513	54683
221	15586	54621
222	15655	54549
223	15731	54499
224	15808	54452
225	15884	54401
226	15960	54350
227	16036	54299
228	16113	54250
229	16183	54178
230	16254	54111
231	16324	54041
232	16391	53958
233	16460	53882
234	16534	53826
235	16611	53775
236	16684	53715
237	16766	53680
238	16843	53631
239	16920	53582
240	16997	53532
241	17072	53476
242	17149	53426
243	17229	53383
244	17309	53341
245	17384	53283
246	17455	53214
247	17525	53141
248	17592	53059
249	17662	52986
250	17732	52916
251	17801	52840
252	17867	52756
253	17935	52676
254	18004	52601
255	18071	52520
256	18138	52437
257	18208	52367
258	18275	52286
259	18344	52211
260	18410	52128
261	18477	52048
262	18545	51969
263	18614	51893
264	18681	51815
265	18751	51742
266	18822	51672
267	18888	51592
268	18958	51520
269	19026	51442
270	19096	51369
271	19165	51295
272	19231	51214
273	19298	51134
274	19367	51060
275	19437	50989
276	19505	50912
277	19574	50836
278	19641	50757
279	19712	50689
280	19780	50612
281	19851	50543
282	19919	50467
283	19986	50389
284	20057	50319
285	20123	50237
286	20192	50165
287	20258	50084
288	20331	50018
289	20400	49947
290	20469	49872
291	20538	49798
292	20609	49729
293	20678	49655
294	20746	49581
295	20816	49509
296	20885	49436
297	20954	49362
298	21023	49290
299	21091	49212
300	21160	49140
301	21232	49074
302	21305	49010
303	21372	48931
304	21443	48864
305	21516	48797
306	21584	48724
307	21655	48654
308	21724	48581
309	21790	48500
310	21859	48427
311	21929	48356
312	21999	48286
313	22064	48205
314	22130	48125
315	22199	48052
316	22264	47969
317	22330	47891
318	22395	47809
319	22460	47729
320	22524	47644
321	22588	47561
322	22649	47472
323	22713	47390
324	22778	47308
325	22841	47223
326	22909	47149
327	22974	47070
328	23042	46995
329	23107	46914
330	23170	46830
331	23233	46747
332	23300	46671
333	23364	46588
334	23429	46509
335	23496	46433
336	23559	46349
337	23623	46268
338	23689	46191
339	23752	46106
340	23818	46030
341	23880	45944
342	23943	45862
343	24009	45785
344	24074	45706
345	24140	45628
346	24201	45544
347	24266	45464
348	24335	45393
349	24399	45312
350	24463	45233
351	24531	45159
352	24595	45080
353	24662	45005
354	24725	44924
355	24788	44841
356	24854	44765
357	24918	44686
358	24980	44603
359	25046	44526
360	25108	44443
361	25170	44361
362	25234	44282
363	25301	44208
364	25364	44127
365	25433	44057
366	25497	43978
367	25566	43908
368	25630	43828
369	25694	43750
370	25757	43669
371	25823	43593
372	25891	43522
373	25957	43446
374	26023	43372
375	26092	43302
376	26162	43233
377	26231	43163
378	26301	43094
379	26369	43024
380	26439	42955
381	26511	42890
382	26584	42826
383	26654	42757
384	26724	42689
385	26793	42619
386	26860	42546
387	26926	42471
388	26996	42403
389	27063	42330
390	27134	42263
